landmark_kind,group,fixed_feature_index,moving_feature_index,src_x,src_y,dst_x,dst_y,dx,dy,motion_um,used_for_transform,tear_like_motion
reciprocal_contour_centroid,Plasma,2248,1395,6152.092998695388,3769.406237013178,6095.761161601566,3737.3460418566387,-56.33183709382229,-32.060195156539066,64.81613984063155,True,True
reciprocal_contour_centroid,Plasma,2216,1399,5651.09292379731,3215.6476369142224,5530.749037262499,3281.9753408583338,-120.34388653481074,66.32770394411136,137.41184569316098,True,True
reciprocal_contour_centroid,Plasma,2201,1401,5464.690708979147,3062.447253740987,5592.0005153875,3002.353359195833,127.30980640835332,-60.093894545153944,140.78019381055165,True,True
reciprocal_contour_centroid,Plasma,2231,1408,5599.544996000115,3335.728152098928,5602.275384485741,3493.0452163750215,2.7303884856255536,157.31706427609333,157.34075674703905,True,True
reciprocal_contour_centroid,Plasma,2253,1410,5943.498486529954,3824.935082374716,5859.960910860256,3847.1728134866344,-83.53757566969762,22.237731111918492,86.44676531702295,True,True
reciprocal_contour_centroid,Plasma,2197,1411,5124.120540293219,2858.544237184004,5258.491078726065,2674.6519311606694,134.37053843284593,-183.89230602333464,227.7538623455433,True,True
reciprocal_contour_centroid,Plasma,2184,1412,4621.2163199828765,2447.0661406347135,4793.769132482832,2283.911594765963,172.5528124999555,-163.15454586875057,237.47395423347595,True,True
reciprocal_contour_centroid,Plasma,2137,1417,3300.59562187097,1344.915546080608,3483.1996292374997,1549.8725099041667,182.6040073665299,204.95696382355868,274.502423534087,True,True
reciprocal_contour_centroid,Plasma,2258,1420,6060.608512442342,4077.5866775213804,5900.468485113252,3957.8783579928054,-160.1400273290892,-119.70831952857498,199.93726545423402,True,True
reciprocal_contour_centroid,Plasma,2246,1424,5615.418652313597,3630.8818819478724,5679.502626812499,3716.942867841667,64.08397449890253,86.06098589379462,107.29980932223462,True,True
reciprocal_contour_centroid,Plasma,2260,1425,5799.510881297176,3991.3335273103353,5764.8227305802975,4040.453903951531,-34.688150716878226,49.12037664119589,60.1338440608099,True,True
reciprocal_contour_centroid,Plasma,2229,1428,5709.859264803517,3847.408399211291,5765.658551936664,3471.676151154118,55.79928713314621,-375.7322480571729,379.8529750767581,True,True
reciprocal_contour_centroid,Plasma,2265,1431,5864.816019757582,4087.6080062842443,5648.87688775,4113.074008568155,-215.93913200758197,25.466002283910257,217.43556747807392,True,True
reciprocal_contour_centroid,Plasma,2233,1432,5309.974044022227,3528.5420216682696,5416.99629243125,3522.7609362366675,107.02224840902363,-5.7810854316021505,107.17827486617912,True,True
reciprocal_contour_centroid,Plasma,2241,1434,5580.600866756221,3874.689630555039,5259.4924917832495,3683.7923315396656,-321.10837497297143,-190.8972990153734,373.5670853396312,True,True
reciprocal_contour_centroid,Plasma,2220,1436,4852.967033288949,3061.054444107935,4968.270186726316,3357.521359035797,115.30315343736675,296.46691492786204,318.09974668245985,True,True
reciprocal_contour_centroid,Plasma,2251,1437,5306.39413472135,3611.6492029521896,5097.613585603012,3763.546531554064,-208.78054911833806,151.8973286018745,258.19007751371976,True,True
reciprocal_contour_centroid,Plasma,2267,1441,5654.546033869358,3958.7973047033515,5697.0030490125,4113.074008583334,42.45701514314169,154.2767038799825,160.0121854576606,True,True
reciprocal_contour_centroid,Plasma,2264,1443,5940.044046397341,4309.915486984523,6066.036575215303,4103.953342082425,125.99252881796201,-205.96214490209877,241.44258624074195,True,True
reciprocal_contour_centroid,Plasma,2100,1444,1914.526885204869,646.2772206265214,1943.1624675624998,689.5540848511054,28.635582357630938,43.27686422458396,51.89300101240763,True,True
reciprocal_contour_centroid,Plasma,2107,1445,1837.8874250014628,616.1303626116835,1920.4081791814342,881.5049396744984,82.52075417997139,265.37457706281486,277.9088717937935,True,True
reciprocal_contour_centroid,Plasma,2136,1446,3187.1700807573366,1733.6226011842916,3117.614199856715,1554.6072871796293,-69.55588090062156,-179.0153140046623,192.05338636964797,True,True
reciprocal_contour_centroid,Plasma,2097,1447,1773.1431010335202,598.2178092049874,1479.4012768541668,617.7992376958333,-293.74182417935344,19.58142849084595,294.3937696588641,True,True
reciprocal_contour_centroid,Plasma,2104,1448,1761.563445711466,619.5754987346303,1768.158244606578,835.2830012906898,6.594798895111808,215.70750255605947,215.80828999702345,True,True
reciprocal_contour_centroid,Plasma,2250,1449,5360.240798899161,3813.0617346304816,5692.627943462499,3724.710145080556,332.38714456333855,-88.35158954992585,343.92908752672884,True,True
reciprocal_contour_centroid,Plasma,2140,1450,2958.3525843489515,1563.0445768411562,2861.9346378791665,1643.0798371958338,-96.41794646978497,80.03526035467758,125.30787406021756,True,True
reciprocal_contour_centroid,Plasma,2266,1451,5453.712232405252,3967.991397621092,5390.916458930969,4137.623736296537,-62.795773474282214,169.63233867544477,180.88239132302004,True,True
reciprocal_contour_centroid,Plasma,2261,1452,5507.646440819748,4025.553787434688,5348.804060451735,4035.3293167302004,-158.84238036801344,9.77552929551257,159.14290048250373,True,True
reciprocal_contour_centroid,Plasma,2081,1458,1182.3771368991816,252.53115448340284,921.2171204983006,337.09846753928497,-261.160016400881,84.56731305588212,274.51080963051345,True,True
reciprocal_contour_centroid,Plasma,2262,1461,5482.001646531493,4161.953546889169,5446.730806181517,4041.51437084031,-35.270840349975515,-120.43917604885883,125.49751912417022,True,True
reciprocal_contour_centroid,Plasma,2272,1463,5487.910230370692,4259.646999600398,5583.250304216666,4229.583167591666,95.34007384597408,-30.06383200873188,99.96781320007476,True,True
reciprocal_contour_centroid,Plasma,2088,1464,1087.1278979669685,315.71650231359115,1085.6417752999998,493.52280135416663,-1.4861226669686403,177.80629904057548,177.81250951237325,True,True
reciprocal_contour_centroid,Plasma,2075,1467,1091.8937991809582,331.4769522183929,1070.9122531716598,177.52407118425916,-20.981546009298427,-153.95288103413375,155.37604336463986,True,True
reciprocal_contour_centroid,Plasma,2239,1468,4742.177429955119,3447.0031115594306,4836.088335519466,3647.8141001991867,93.91090556434756,200.81098863975603,221.68516265729656,True,True
reciprocal_contour_centroid,Plasma,2269,1470,5265.628523569337,4257.495236721776,5259.373844876556,4207.755802039265,-6.254678692780544,-49.739434682510364,50.131151673242435,True,True
reciprocal_contour_centroid,Plasma,2257,1471,5007.929763081517,3960.3155504703986,4949.546703672563,3899.354483791447,-58.38305940895407,-60.96106667895174,84.40872749061592,True,True
reciprocal_contour_centroid,Plasma,2244,1475,4408.356618611299,3289.6584930793715,3986.814511510425,3739.133175546856,-421.54210710087455,449.4746824674844,616.218498779687,True,True
